上櫃股票個股本益比、殖利率、股價淨值比(依日期查詢)
資料日期:105/06/17
產業類別:全部
股票代號,名稱,本益比,每股股利,殖利率(%),股價淨值比
"5701","劍湖山","N/A","0.00","0.00","0.43"
"5703","亞都","28.70","0.50","2.26","1.66"
"5704","老爺知","26.29","1.00","3.62","2.19"
"5820","日盛金","11.76","0.54","7.88","0.62"
"5878","台名","14.80","3.00","6.76","2.29"
"5902","德記","50.19","0.00","0.00","1.97"
"5903","全家","35.84","4.60","2.27","9.36"
"5904","寶雅","33.51","8.90","2.63","10.81"
"5905","南仁湖","20.19","0.30","4.02","0.62"
"6015","宏遠證","N/A","0.00","0.00","0.53"
"6016","康和證","14.68","0.20","3.32","0.50"
"6020","大展證","300.00","0.00","0.00","0.82"
"6021","大慶證","N/A","0.00","0.00","0.61"
"6022","大眾證","21.50","0.28","3.40","0.64"
"6023","元大期","9.77","2.28","6.32","1.18"
"6024","群益期","8.56","2.47","6.80","1.44"
"6026","福邦證","19.51","0.30","3.75","0.70"
"6101","弘捷","N/A","0.00","0.00","1.89"
"6103","合邦","302.50","0.00","0.00","9.68"
"6104","創惟","13.50","3.00","8.68","2.01"
"6105","瑞傳","10.42","3.00","6.19","1.23"
"6107","華美","28.43","2.50","2.94","5.25"
"6109","亞元","8.23","1.20","8.73","1.11"
"6111","大宇資","90.09","0.00","0.00","8.46"
"6113","亞矽","N/A","0.00","0.00","0.62"
"6114","久威","6.33","3.50","7.80","1.99"
"6118","建達","26.43","0.00","0.00","0.55"
"6121","新普","11.57","7.00","6.22","1.59"
"6122","擎邦","N/A","0.00","0.00","0.51"
"6123","上奇","10.06","2.10","6.54","1.50"
"6124","業強","N/A","0.00","0.00","1.55"
"6125","廣運","30.64","0.50","4.18","0.60"
"6126","信音","N/A","0.00","0.00","0.76"
"6127","九豪","32.18","0.00","0.00","0.66"
"6129","普誠","N/A","0.00","0.00","0.65"
"6130","基因","N/A","0.00","0.00","2.24"
"6134","萬旭","N/A","0.00","0.00","1.23"
"6138","茂達","13.70","1.50","6.19","1.33"
"6140","訊達","N/A","0.00","0.00","1.01"
"6143","振曜","16.91","2.00","2.86","2.78"
"6144","得利影","N/A","0.00","0.00","1.18"
"6146","耕興","20.31","6.10","3.59","4.65"
"6147","頎邦","15.49","2.10","5.13","1.13"
"6148","驊宏資","N/A","0.00","0.00","0.68"
"6150","撼訊","N/A","0.00","0.00","1.39"
"6151","晉倫","9.52","2.20","8.53","1.38"
"6154","順發","14.73","1.00","6.12","1.01"
"6156","松上","8.01","0.30","2.07","1.17"
"6158","禾昌","25.88","0.50","3.79","0.53"
"6160","欣技","22.39","1.00","3.33","2.08"
"6161","捷波","20.91","0.20","2.90","0.55"
"6163","華電網","N/A","0.00","0.00","0.82"
"6167","久正","11.83","0.00","0.00","1.23"
"6169","昱泉","N/A","0.00","0.00","2.40"
"6170","統振","29.05","0.43","3.99","0.82"
"6171","亞銳士","5.26","0.20","2.00","0.70"
"6173","信昌電","16.02","0.35","2.48","0.92"
"6174","安碁","15.21","1.00","6.78","1.24"
"6175","立敦","28.41","0.30","2.58","0.78"
"6179","亞通","11.79","2.60","7.32","2.53"
"6180","橘子","61.98","1.20","3.65","1.91"
"6182","合晶","N/A","0.00","0.00","0.65"
"6185","幃翔","7.61","2.00","10.23","0.96"
"6186","新潤","4.20","3.50","14.43","1.14"
"6187","萬潤","27.94","2.00","3.21","3.06"
"6188","廣明","15.21","1.20","5.44","0.71"
"6190","萬泰科","N/A","0.00","0.00","0.58"
"6194","育富","N/A","0.75","4.40","0.58"
"6195","詩肯","11.52","3.50","7.46","2.40"
"6198","凌泰","N/A","0.00","0.00","4.20"
"6199","天品","49.36","0.00","0.00","1.73"
"6203","海韻電","11.58","2.00","6.42","1.64"
"6204","艾華","21.97","0.70","3.22","0.90"
"6207","雷科","10.63","2.50","10.14","1.35"
